StopSerial,Stop_Name,Latitude,Longitude
1,SILVASSA BUS STAND,20.269629,73.00437668
2,POLICE STATION SILVASSA,20.275076,73.00294475
3,AMLI FUWARA,20.282067,72.99890042
4,PIPARIA POLICE STATION,20.287900,72.99522600
5,HARIYANA HOTEL,20.294492,72.99142800
6,AMBIKA PARK,20.300906,72.98274745
7,LAWACHHA,20.30388739 ,72.97746401
8,TIGHRA,20.309385,72.97182373
9,DADRA ,20.318607,72.96621021
10,DADRA CHECK POST,20.324697,72.96028939
11,DUNGRA,20.330577,72.94921676
12,DUNGRA COLONY,20.334018,72.94647000
13,HARIYA PARK,20.337420,72.94292101 
14,KBS COLLEGE ,20.347016,72.93557985
15,CHANOD ,20.351477,72.93185154
16,BHADAK MORA,20.356686,72.92770244
17,CHAR RASTA VAPI,20.365422,72.9214186 
18,RAILWAY STATION VAPI,20.37338458 ,72.91354928
19,BUS STAND VAPI,20.378828,72.90798295
20,HARIYA PARK,20.337420,72.94292101
21,CHALA,20.383918,72.90246139
22,DABHEL CHECK POST,20.399682,72.88957874
23,AMALIA,20.409821,72.88252009
24,SOMNATH,20.412003,72.87891051
25,ITI RINGANWADA,20.411589,72.87075290
26,GOVT. POLYTECHNIC,20.410886,72.86297944
27,VARKUND,20.412544,72.85874424
28,COSTAL HIGHWAY,20.418788,72.85161727
29,BUS STOP DAMAN,20.416851,72.83812350
30,FOOTBALL GROUND ,20.404389,72.83351521
31,SILVASSA BUS STOP,20.269629,73.00437600
32,Civil Court,20.262708,73.00471400
33,Samarvani Tempo Stand ,20.256342,73.00797400
34,Masat Junction ,20.248424,73.00971500
35,Masat Gam,20.242717,73.01285900
36,Wonderland Resort,20.233992,73.01805200
37,Bhilosa Compny  ,20.225622,73.02370900
38,Rakholi Junction ,20.222895,73.02492200
39,VASONA CHAR RASTA,20.207839,73.02510400
40,DAPADA SCHOOL,20.196095,73.02485700
41,DAPADA GAM,20.188928,73.02595600
42,DAPADA PHC,20.182830,73.02686900
43,DEER PARK,20.177778,73.02671700
44,KHADOLI POWER HOUSE,20.166277,73.02748700
45,Velugam Road,20.158360,73.03223900
46,JAY CORP COMPANY,20.153158,73.03673400
47,TINODA GAM,20.151385,73.04719900
48,TINODA NATURE TRAIL,20.150558,73.05090000
49,BINDRABIN,20.143006,73.06057600
50,KHANVEL PETROL PUMP,20.136671,73.06276500
51,KHANVELCHAR RASTA,20.128242,73.06834900
